ABSOLUTE PATH,RELATIVE PATH,orientation
results\\larger than 700 800\\000005.jpg,larger than 700 800\\000005.jpg,horizontal
results\\larger than 10 10\\000004.jpg,larger than 10 10\\000004.jpg,square
results\\larger than 10 10\\000001.jpg,larger than 10 10\\000001.jpg,vertical
results\\larger than 10 10\\000002.jpg,larger than 10 10\\000002.jpg,vertical
results\\larger than 10 10\\000003.jpg,larger than 10 10\\000003.jpg,vertical
results\\larger than 10 10\\000005.jpg,larger than 10 10\\000005.jpg,vertical
results\\larger than 700 800\\000001.jpg,larger than 700 800\\000001.jpg,vertical
results\\larger than 700 800\\000002.jpg,larger than 700 800\\000002.jpg,vertical
results\\larger than 700 800\\000003.jpg,larger than 700 800\\000003.jpg,vertical
results\\larger than 700 800\\000004.jpg,larger than 700 800\\000004.jpg,vertical
